start,end,text
160.917,164.199,"Now, Ringo, I'm gonna count to three."
165.42,173.225,"And when I count three, I want you to let go your gun, put your palms flat on the table, and sit your ass down."
174.486,177.468,"But when you do it, you do it cool."
178.849,179.209,You ready?
181.191,181.291,"One,"
183.208,183.428, Two.
185.429,185.689,Three.
194.832,196.133,"Okay, now you let him go!"
196.153,197.833,"Yolanda, I thought you were gonna be cool."
198.353,200.194,"Now when you yell at me, it makes me nervous."
200.474,202.295,"And when I get nervous, I get scared."
202.675,206.236,"And when motherfuckers get scared, that's when motherfuckers accidentally get shot."
207.917,210.818,"Just know, you hurt him, you die."
212.21,213.811," Well, that seems to be the situation."
214.752,215.693,But I don't want that.
216.634,217.715,And you don't want that.
218.435,221.057,And Ringo here definitely doesn't want that.
221.177,222.258,So let's see what we can do.
224.84,227.603,"Now, here's the situation."
229.204,232.086,"Normally, both your asses would be dead as fucking fried chicken."
232.327,235.85,"But you happen to pull this shit while I'm in a transitional period, and I don't want to kill you."
236.01,236.61,I want to help you.
237.791,241.014,"But I can't give you this case, because it don't belong to me."
242.176,246.879," Besides, I've been through too much shit over this case this morning to just hand it over to your dumb ass."
248.5,250.241,"Vincent, be cool."
251.542,253.263,"Yolanda, it's cool, baby."
253.523,254.243,It's cool.
254.524,255.664,We're still just talking.
255.684,256.705,"Come on, point the gun at me."
257.325,258.106,Point the gun at me.
258.566,259.106,There you go.
259.587,263.649,"Now, Vincent, you just hang back and don't do a goddamn thing."
263.729,264.49,Tell her we're still cool.
266.091,267.131,"We're still cool, honey bunny."
267.291,268.472,"How we doing, baby?"
268.492,270.894,I gotta go pee.
272.665,273.445, I'm gonna go home.
273.705,274.466,"Just hang in there, baby."
274.486,275.086,You're doing great.
275.146,275.806,I'm proud of you.
276.006,277.126,And Ringo's proud of you.
277.386,278.127,It's almost over.
278.947,279.647,Tell her you're proud of her.
280.887,281.728,"Proud of you, honey bunny."
281.748,283.108,I love you.
283.868,284.849,"I love you too, honey bunny."
285.569,290.17,"Now, I want you to go in that bag and find my wallet."
293.271,293.831,Which one is it?
294.392,295.972,It's the one that says bad motherfucker.
311.004,311.484, That's it.
312.365,313.606,That's my bad motherfucker.
313.906,314.327,Open it up.
314.707,315.247,Take out the money.
321.913,322.213,Count it.
329.438,329.999,How much is there?
330.019,334.502,"About $1,500."
334.803,336.204,"Okay, put it in your pocket."
336.224,337.144,It's yours.
338.706,340.347,"Now, with the rest of those wallets in the register,"
341.237,343.18," That makes this a pretty successful little score, huh?"
343.38,347.086,"Jules, you give that fucking Nimrod $1,500 and I'll shoot him on general principle."
347.186,348.188,"No, Yolanda, Yolanda!"
348.208,350.231,He ain't gonna do a goddamn motherfucking thing.
350.271,351.913,"Vince, shut the fuck up!"
353.095,353.436,Shut up!
353.796,354.457,"Come on, Yolanda."
354.477,355.078,"Stay with me, baby."
357.061,358.484,"Now, I ain't giving it to him, Vincent."
359.706,360.026,I'm buying it.
