start,end,text
502.887,506.529,I'm excited to read it.
507.13,508.471,"So, Tom, what is it that you do?"
508.811,510.892,I write greeting cards.
511.233,513.354,Tom could be a really great architect if he wanted to be.
514.555,515.295,That's unusual.
515.356,517.777,"I mean, what made you go from one to the other?"
518.338,524.342,"I guess I just figured, why make something disposable like a building when you can make something that lasts forever?"
525.314,528.516, No one's got it all.
528.536,529.837,No one's got it all.
551.241,552.742, We're not doing any meeting.
552.842,556.803,"We're trying to be faithful, but we're cheating, cheating, cheating."
569.569,573.352," I'm the hero of the story, don't need to be saved."
573.872,577.695,"I'm the hero of the story, don't need to be saved."
577.715,582.099,"I'm the hero of the story, don't need to be saved."
582.619,586.642,"I'm the hero of the story, don't need to be saved."
586.782,588.103,It's all right.
588.203,588.744,It's all right.
588.784,589.644,It's all right.
589.664,591.746,It's all right.
591.786,592.367,It's all right.
592.467,594.969,It's all right.
595.109,596.109,It's all right.
596.189,598.231,It's all right.
609.77,609.974, got it all
639.784,647.674, just trying to swing a full-time right i never knew the cold had the danger
